_real_time,_totl_time,missn_time,timer_time,_zulu_time,local_time,hobbs_time,__mag_comp,mavar__deg,__lat__deg,__lon__deg,__altftmsl,__altftagl,___onrunwy,__alt__ind,__latorign,__lonorign,NAV_1,_freqNAV_1,_stbyNAV_1,_typeNAV_2,_freqNAV_2,_stbyNAV_2,_typeNAV_1,n-typNAV_1,to-frNAV_1,m-crsNAV_1,r-brgNAV_1,dme-dNAV_1,h-defNAV_1,v-defNAV_2,n-typNAV_2,to-frNAV_2,m-crsNAV_2,r-brgNAV_2,dme-dNAV_2,h-defNAV_2,v-defADF_1,_freqADF_1,_cardADF_1,r-brgADF_1,n-typADF_2,_freqADF_2,_cardADF_2,r-brgADF_2,n-typ__DME,nav01__DME,_mode__DME,found__DME,_dist__DME,speed__DME,_time__DME,n-typDME-3_freq,
1304.86816,1484.34656,1482.84387,0.00000,13.56734,14.56734,2.68790,26.92952,-1.99750,47.29708,6.09448,5965.19434,4754.17676,0.00000,5965.20996,47.50000,6.00000,11145.00000,11710.00000,3.00000,11300.00000,10820.00000,3.00000,3.00000,2.00000,266.45718,-118.86719,40.70298,-0.41104,0.00000,3.00000,1.00000,357.68213,-27.66963,0.00000,-2.50000,0.00000,289.00000,0.00000,89.99978,0.00000,210.00000,0.00000,89.99978,0.00000,0.00000,2.00000,1.00000,40.70298,61.17767,39.74491,3.00000,10940.00000,
1305.86743,1485.34570,1483.84314,0.00000,13.56762,14.56762,2.68817,26.65290,-1.99759,47.29760,6.09487,5965.18408,4752.53271,0.00000,5965.19678,47.50000,6.00000,11145.00000,11710.00000,3.00000,11300.00000,10820.00000,3.00000,3.00000,2.00000,266.41434,-118.70201,40.71999,-0.40032,0.00000,3.00000,1.00000,357.66599,-27.47721,0.00000,-2.50000,0.00000,289.00000,0.00000,89.99978,0.00000,210.00000,0.00000,89.99978,0.00000,0.00000,2.00000,1.00000,40.71999,61.10212,40.00157,3.00000,10940.00000,
1306.86621,1486.34448,1484.84192,0.00000,13.56790,14.56790,2.68845,26.38898,-1.99769,47.29811,6.09526,5965.17383,4750.89307,0.00000,5965.18408,47.50000,6.00000,11710.00000,11145.00000,3.00000,11300.00000,10820.00000,3.00000,3.00000,2.00000,266.37057,-118.54518,40.73690,-0.38943,0.00000,3.00000,1.00000,357.64941,-27.29348,0.00000,-2.50000,0.00000,289.00000,0.00000,89.99978,0.00000,210.00000,0.00000,89.99978,0.00000,0.00000,2.00000,1.00000,40.73690,60.96022,40.20638,3.00000,10940.00000,
1307.87463,1487.35291,1485.85034,0.00000,13.56818,14.56818,2.68873,26.13439,-1.99779,47.29864,6.09565,5965.16406,4749.24219,0.00000,5965.17529,47.50000,6.00000,11710.00000,11145.00000,3.00000,11300.00000,10820.00000,3.00000,3.00000,2.00000,336.21780,-89.76572,0.00000,-2.45272,0.00000,3.00000,1.00000,357.63388,-27.11546,0.00000,-2.50000,0.00000,289.00000,0.00000,89.99978,0.00000,210.00000,0.00000,89.99978,0.00000,0.00000,2.00000,0.00000,0.00000,0.00000,0.00000,3.00000,10940.00000,
1308.87427,1488.36523,1486.86267,0.00000,13.56846,14.56846,2.68901,25.89001,-1.99788,47.29917,6.09604,5965.15527,4747.58740,0.00000,5965.16357,47.50000,6.00000,11710.00000,11145.00000,3.00000,11300.00000,10820.00000,3.00000,3.00000,1.00000,2.97318,-52.01893,0.00000,-2.49921,0.00000,3.00000,1.00000,357.61914,-26.94287,0.00000,-2.50000,0.00000,289.00000,0.00000,89.99978,0.00000,210.00000,0.00000,89.99978,0.00000,0.00000,2.00000,0.00000,0.00000,0.00000,0.00000,3.00000,10940.00000,
1309.87390,1489.36487,1487.86230,0.00000,13.56874,14.56874,2.68929,25.65892,-1.99798,47.29969,6.09643,5965.14697,4745.95801,0.00000,5965.16162,47.50000,6.00000,11710.00000,11145.00000,3.00000,10820.00000,11300.00000,12.00000,3.00000,1.00000,12.59348,-28.57675,0.00000,-2.49999,0.00000,12.00000,0.00000,357.27759,9.64440,30.26628,-0.55375,0.00000,289.00000,0.00000,89.99978,0.00000,210.00000,0.00000,89.99978,0.00000,0.00000,2.00000,0.00000,0.00000,0.00000,0.00000,3.00000,10940.00000,
1310.86499,1490.35999,1488.85730,0.00000,13.56902,14.56902,2.68957,25.43823,-1.99807,47.30021,6.09680,5965.13916,4744.33838,0.00000,5965.15137,47.50000,6.00000,11710.00000,11145.00000,3.00000,10820.00000,11300.00000,12.00000,3.00000,1.00000,16.10966,-16.35658,0.00000,-2.50000,0.00000,12.00000,0.00000,356.80972,60.36120,30.91071,-0.00996,0.00000,289.00000,0.00000,89.99978,0.00000,210.00000,0.00000,89.99978,0.00000,0.00000,2.00000,0.00000,0.00000,0.00000,0.00000,3.00000,10940.00000,
1311.86804,1491.36304,1489.86047,0.00000,13.56929,14.56929,2.68985,25.22462,-1.99816,47.30074,6.09718,5965.13184,4742.70898,0.00000,5965.13965,47.50000,6.00000,11710.00000,11145.00000,3.00000,10820.00000,11300.00000,12.00000,3.00000,1.00000,17.40626,-10.42091,0.00000,-2.50000,0.00000,12.00000,0.00000,356.62653,79.15514,30.87574,-0.00017,0.00000,289.00000,0.00000,89.99978,0.00000,210.00000,0.00000,89.99978,0.00000,0.00000,2.00000,0.00000,0.00000,0.00000,0.00000,3.00000,10940.00000,
1312.86914,1492.36414,1490.86157,0.00000,13.56957,14.56957,2.69012,25.01958,-1.99826,47.30127,6.09756,5965.12451,4721.95264,0.00000,5965.13477,47.50000,6.00000,11710.00000,11145.00000,3.00000,10820.00000,11300.00000,12.00000,3.00000,1.00000,17.87385,-7.67651,0.00000,-2.50000,0.00000,12.00000,0.00000,356.55014,86.02389,30.84079,-0.00000,0.00000,289.00000,0.00000,89.99978,0.00000,210.00000,0.00000,89.99978,0.00000,0.00000,2.00000,0.00000,0.00000,0.00000,0.00000,3.00000,10940.00000,
1313.86902,1493.36401,1491.86145,0.00000,13.56985,14.56985,2.69040,24.82238,-1.99835,47.30179,6.09793,5965.11816,4703.41602,0.00000,5965.12256,47.50000,6.00000,11710.00000,11145.00000,3.00000,10820.00000,11300.00000,12.00000,3.00000,1.00000,18.03902,-6.40433,0.00000,-2.50000,0.00000,12.00000,0.00000,356.51273,88.54038,30.80589,-0.00000,0.00000,289.00000,0.00000,89.99978,0.00000,210.00000,0.00000,89.99978,0.00000,0.00000,2.00000,0.00000,0.00000,0.00000,0.00000,3.00000,10940.00000,
